************************************************************
numVars,numInstances,numFocalElements,numConfigs,time
2,841,100,100,34
2,842,100,100,33
2,843,100,100,34
2,844,100,100,34
2,845,100,100,34
2,846,100,100,35
2,847,100,100,32
2,848,100,100,32
2,849,100,100,22
2,850,100,100,31
2,851,100,100,31
2,852,100,100,46
2,853,100,100,34
2,854,100,100,34
2,855,100,100,34
2,856,100,100,34
2,857,100,100,41
2,858,100,100,32
2,859,100,100,35
2,860,100,100,33
2,861,100,100,34
2,862,100,100,33
2,863,100,100,33
2,864,100,100,34
2,865,100,100,34
2,866,100,100,34
2,867,100,100,33
2,868,100,100,33
2,869,100,100,34
2,870,100,100,34
2,871,100,100,34
2,872,100,100,33
2,873,100,100,34
2,874,100,100,34
2,875,100,100,33
2,876,100,100,40
2,877,100,100,34
2,878,100,100,33
2,879,100,100,34
2,880,100,100,33
2,881,100,100,34
2,882,100,100,38
2,883,100,100,35
2,884,100,100,34
2,885,100,100,34
2,886,100,100,34
2,887,100,100,34
2,888,100,100,33
2,889,100,100,36
2,890,100,100,32
2,891,100,100,34
2,892,100,100,35
2,893,100,100,34
2,894,100,100,33
2,895,100,100,34
2,896,100,100,33
2,897,100,100,34
2,898,100,100,32
2,899,100,100,33
2,900,100,100,34
2,901,100,100,34
2,902,100,100,33
2,903,100,100,34
2,904,100,100,36
2,905,100,100,34
2,906,100,100,32
2,907,100,100,33
2,908,100,100,34
2,909,100,100,35
2,910,100,100,33
2,911,100,100,34
2,912,100,100,34
2,913,100,100,33
2,914,100,100,35
2,915,100,100,33
2,916,100,100,32
2,917,100,100,33
2,918,100,100,34
2,919,100,100,35
2,920,100,100,33
2,921,100,100,34
2,922,100,100,35
2,923,100,100,35
2,924,100,100,41
2,925,100,100,32
2,926,100,100,35
2,927,100,100,33
2,928,100,100,33
2,929,100,100,34
2,930,100,100,34
2,931,100,100,33
2,932,100,100,33
2,933,100,100,33
2,934,100,100,31
2,935,100,100,31
2,936,100,100,23
2,937,100,100,32
2,938,100,100,31
2,939,100,100,38
2,940,100,100,46
2,941,100,100,40
2,942,100,100,33
2,943,100,100,33
2,944,100,100,33
2,945,100,100,35
2,946,100,100,34
2,947,100,100,34
2,948,100,100,34
2,949,100,100,34
2,950,100,100,35
2,951,100,100,33
2,952,100,100,35
2,953,100,100,33
2,954,100,100,34
2,955,100,100,35
2,956,100,100,18
2,957,100,100,33
2,958,100,100,34
2,959,100,100,35
2,960,100,100,33
2,961,100,100,34
2,962,100,100,34
2,963,100,100,41
2,964,100,100,34
2,965,100,100,34
2,966,100,100,34
2,967,100,100,33
2,968,100,100,33
2,969,100,100,34
2,970,100,100,34
2,971,100,100,34
2,972,100,100,35
2,973,100,100,33
2,974,100,100,33
2,975,100,100,33
2,976,100,100,34
2,977,100,100,35
2,978,100,100,35
2,979,100,100,35
2,980,100,100,32
2,981,100,100,33
2,982,100,100,35
2,983,100,100,33
2,984,100,100,34
2,985,100,100,33
2,986,100,100,33
2,987,100,100,34
2,988,100,100,33
2,989,100,100,33
2,990,100,100,35
2,991,100,100,33
2,992,100,100,34
2,993,100,100,34
2,994,100,100,34
2,995,100,100,33
2,996,100,100,34
2,997,100,100,34
2,998,100,100,34
2,999,100,100,34
2,1000,100,100,33
2,1001,100,100,33
2,1002,100,100,34
2,1003,100,100,34
2,1004,100,100,34
2,1005,100,100,34
2,1006,100,100,33
2,1007,100,100,34
2,1008,100,100,34
2,1009,100,100,34
2,1010,100,100,34
2,1011,100,100,34
2,1012,100,100,33
2,1013,100,100,33
2,1014,100,100,35
2,1015,100,100,35
2,1016,100,100,34
2,1017,100,100,33
2,1018,100,100,36
2,1019,100,100,34
2,1020,100,100,35
2,1021,100,100,35
2,1022,100,100,32
2,1023,100,100,31
2,1024,100,100,35
2,1025,100,100,34
2,1026,100,100,34
2,1027,100,100,34
2,1028,100,100,34
2,1029,100,100,34
2,1030,100,100,33
2,1031,100,100,38
2,1032,100,100,35
2,1033,100,100,22
2,1034,100,100,34
2,1035,100,100,35
2,1036,100,100,34
2,1037,100,100,34
2,1038,100,100,33
2,1039,100,100,34
2,1040,100,100,35
2,1041,100,100,33
2,1042,100,100,34
2,1043,100,100,33
2,1044,100,100,34
2,1045,100,100,34
2,1046,100,100,34
2,1047,100,100,35
2,1048,100,100,32
2,1049,100,100,39
2,1050,100,100,34
2,1051,100,100,34
2,1052,100,100,33
2,1053,100,100,37
2,1054,100,100,31
2,1055,100,100,31
2,1056,100,100,18
2,1057,100,100,31
2,1058,100,100,22
2,1059,100,100,31
2,1060,100,100,36
2,1061,100,100,31
2,1062,100,100,31
2,1063,100,100,22
2,1064,100,100,31
2,1065,100,100,32
2,1066,100,100,33
2,1067,100,100,32
2,1068,100,100,34
2,1069,100,100,35
2,1070,100,100,34
2,1071,100,100,34
2,1072,100,100,35
2,1073,100,100,34
2,1074,100,100,34
2,1075,100,100,35
2,1076,100,100,34
2,1077,100,100,34
2,1078,100,100,35
2,1079,100,100,34
2,1080,100,100,34
2,1081,100,100,34
2,1082,100,100,36
2,1083,100,100,33
2,1084,100,100,34
